Название;Артист;Продолжительность(мс);Наличие мата;Дата релиза;Жанр;Количество треков у артиста;Количество лайков артиста;Количество лайков альбома;ID трека;ID артиста;Язык
Rosen;Arne Quick;187370;False;2009-09-18T00:00:00+04:00;estrada;1;0;3;100002;38932;sv
L'amore è quando non c'è più;Umberto Tozzi;208030;False;2016-05-20T00:00:00+03:00;pop;273;6244;16;100008;6743;it
We Are Golden;MIKA;212190;False;2009-09-06T00:00:00+04:00;pop;133;19476;4;100009;17373;en
Följ med till lyckans land;Anna Öst;200670;False;2009-09-25T00:00:00+04:00;estrada;3;0;3;100020;38959;sv
Yu Dao Le;Mr.;261770;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100032;5916;ko
Ru Guo Wo Shi Chen Yi Xun;Mr.;190970;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100033;5916;ko
Xun Zhao Yi Qian Bian;Mr.;251170;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100034;5916;ko
Mr. Tam;Mr.;249050;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100036;5916;ko
Wu Wei Zai Jia;Mr.;253230;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100037;5916;ko
Sen Lin;Mr.;308650;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100038;5916;ko
Gan Dong;Mr.;236600;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100039;5916;ko
Yao Bai;Mr.;218130;False;2009-09-03T00:00:00+04:00;pop;94;3;4;100040;5916;ko
Om Gud var jag;Nordman;176690;False;2010-01-20T00:00:00+03:00;rock;66;50;5;100042;38984;sv
Mariposas Negras;Lara San Juan;329810;False;2012-05-22T00:00:00+04:00;folk;1;0;4;100049;38971;es
On/Off;Snow Patrol;159900;False;2006-04-24T00:00:00+04:00;alternative;118;36869;98;100053;8403;en
We Are Golden;MIKA;388440;False;2009-09-06T00:00:00+04:00;pop;133;19476;29;100054;17373;en
We Are Golden;MIKA;373050;False;2009-09-06T00:00:00+04:00;pop;133;19476;29;100055;17373;en
We Are Golden;MIKA;189280;False;2009-09-06T00:00:00+04:00;pop;133;19476;29;100056;17373;en
